"animalhabitatid","animalid","locationid","count","dateacquired"
1,12,32,83,"2023-01-01"
2,5,18,54,"2023-02-05"
3,29,65,102,"2023-03-10"
4,8,47,78,"2023-04-15"
5,41,22,93,"2023-05-20"
6,55,68,65,"2023-06-25"
7,19,50,107,"2023-07-30"
8,46,9,43,"2023-08-05"
9,33,39,61,"2023-09-10"
10,2,61,89,"2023-10-15"
11,14,11,72,"2023-11-20"
12,59,35,55,"2023-12-25"
13,25,29,118,"2024-01-01"
14,37,42,46,"2024-02-05"
15,50,5,71,"2024-03-10"
16,7,16,84,"2024-04-15"
17,44,26,97,"2024-05-20"
18,1,64,114,"2024-06-25"
19,58,56,69,"2024-07-30"
20,22,13,49,"2024-08-05"
21,32,51,106,"2024-09-10"
22,11,45,80,"2024-10-15"
23,38,20,57,"2024-11-20"
24,57,37,88,"2024-12-25"
25,16,69,60,"2025-01-01"
26,53,3,120,"2025-02-05"
27,24,63,40,"2025-03-10"
28,48,27,75,"2025-04-15"
29,36,10,98,"2025-05-20"
30,49,60,67,"2025-06-25"
31,9,14,45,"2025-07-30"
32,40,59,87,"2025-08-05"
33,18,54,103,"2025-09-10"
34,30,33,79,"2025-10-15"
35,6,12,112,"2025-11-20"
36,35,43,62,"2025-12-25"
37,26,4,75,"2026-01-01"
38,47,66,41,"2026-02-05"
39,54,30,96,"2026-03-10"
40,31,53,53,"2026-04-15"
41,21,28,68,"2026-05-20"
42,10,46,115,"2026-06-25"
43,43,8,47,"2026-07-30"
44,60,23,90,"2026-08-05"
45,13,38,111,"2026-09-10"
46,28,58,64,"2026-10-15"
47,39,6,83,"2026-11-20"
48,52,17,106,"2026-12-25"
49,15,44,42,"2027-01-01"
50,51,31,74,"2027-02-05"
51,20,55,55,"2027-03-10"
52,42,21,119,"2027-04-15"
53,23,67,77,"2027-05-20"
54,3,16,91,"2027-06-25"
55,34,43,108,"2027-07-30"
56,17,8,58,"2027-08-05"
57,56,37,44,"2027-09-10"
58,27,19,63,"2027-10-15"
59,4,60,85,"2027-11-20"
60,45,10,50,"2027-12-25"
